eo,Sn,Z,kni,krcf,Vm,Vj,e,kf,Cluster
29.99994,2586.416917773129,0.686007718740022,1000000.0,34.300385937001096,8.849823200201993e-06,8.819645427166817e-06,27.31171207379955,34.34663234172986,1
29.99994,3377.9444021584814,0.2127235727582005,1000000.0,10.636178637910028,3.158147750914301e-05,3.128894718180092e-05,20.46306889898708,10.823594814088718,3
29.99994,3435.93748520351,0.6703145516449629,1000000.0,33.51572758224815,9.36655962635621e-06,9.341095273111178e-06,27.15277416075571,33.55407644324085,1
29.99994,1024.2359681702403,0.6790225926993159,1000000.0,33.951129634965795,9.078719062516788e-06,8.998953294320035e-06,27.25705903589125,34.07253442932347,2
29.99994,3200.0900373010045,0.3415094233126918,1000000.0,17.07547116563459,2.3183733641386077e-05,2.301698221294703e-05,22.984363821493744,17.22734733221211,3
29.99994,2524.3320838887,0.3989056278627871,1000000.0,19.94528139313936,2.0204071947542598e-05,2.004364800452838e-05,23.890636088219747,20.10940921262006,3
29.99994,1201.2698648612172,0.4075277250042851,1000000.0,20.376386250214253,1.978478114126721e-05,1.9464207802400404e-05,24.067249461828357,20.710677116062943,0
29.99994,1822.640501219224,0.3285063787403125,1000000.0,16.425318937015625,2.391039987903756e-05,2.360079172145282e-05,22.806418683301175,16.70001385294716,0
29.99994,1292.8550749572323,0.5791809284299096,1000000.0,28.959046421495483,1.2561421060675115e-05,1.2440548297426836e-05,26.2080608789443,29.12245718488155,2
29.99994,2210.072180520703,0.2533611881109218,1000000.0,12.668059405546089,2.859525675496568e-05,2.822999986362612e-05,21.39543604156676,12.935196405725929,0
29.99994,1609.1945599662783,0.4199213466656046,1000000.0,20.996067333280237,1.919358509159092e-05,1.8967352967642944e-05,24.21869081546243,21.23689947564826,0
29.99994,3591.4708714864387,0.4004048597603588,1000000.0,20.020242988017937,2.0130679656792396e-05,2.0018473407651727e-05,23.89830930534775,20.13525669826164,3
29.99994,2510.4931587696237,0.2123942135394967,1000000.0,10.619710676974837,3.160736594745737e-05,3.121437378510075e-05,20.48579887030129,10.871765538763036,3
29.99994,2018.849436526552,0.7629190965444341,1000000.0,38.14595482722171,6.438298732589857e-06,6.4178316701332905e-06,28.04378490694337,38.17991609503975,2
29.99994,1460.3840952418211,0.4482774951097193,1000000.0,22.413874755485967,1.7888610204490332e-05,1.7672139742802693e-05,24.61347180639374,22.65582942512452,0
29.99994,1540.9301341275136,0.7739462680976323,1000000.0,38.69731340488162,6.107693225567597e-06,6.083580100550176e-06,28.145664785352302,38.73775994058023,2
